Date,Open,High,Low,Close,Volume
31-Dec-13,5.93,6.24,5.88,6.04,193921
30-Dec-13,6.00,6.10,5.90,5.98,32222
27-Dec-13,5.99,6.09,5.84,5.96,59343
26-Dec-13,5.72,6.09,5.72,5.95,81969
24-Dec-13,5.52,5.74,5.34,5.71,32646
23-Dec-13,5.74,5.78,5.44,5.56,88501
20-Dec-13,5.77,5.80,5.67,5.78,70270
19-Dec-13,5.74,5.84,5.74,5.80,24671
18-Dec-13,5.65,5.80,5.47,5.76,105097
17-Dec-13,5.34,5.74,5.34,5.56,126368
16-Dec-13,5.20,5.40,5.19,5.39,56657
13-Dec-13,5.17,5.33,5.17,5.20,11086
12-Dec-13,5.10,5.21,4.95,5.13,31677
11-Dec-13,5.23,5.24,5.10,5.13,33705
10-Dec-13,5.23,5.39,5.23,5.23,44974
9-Dec-13,5.27,5.27,5.10,5.14,28963
6-Dec-13,5.18,5.25,5.08,5.17,70904
5-Dec-13,5.32,5.32,5.04,5.21,38415
4-Dec-13,5.37,5.39,4.95,5.20,104731
3-Dec-13,5.24,5.44,5.21,5.34,40351
2-Dec-13,5.10,5.24,5.00,5.20,69989
29-Nov-13,5.20,5.20,5.00,5.18,18130
27-Nov-13,4.98,5.25,4.92,5.22,139560
26-Nov-13,4.75,5.00,4.74,4.98,99312
25-Nov-13,4.76,4.78,4.65,4.76,48618
22-Nov-13,4.59,4.94,4.47,4.75,148136
21-Nov-13,4.53,4.57,4.50,4.56,31492
20-Nov-13,4.49,4.60,4.39,4.50,80584
19-Nov-13,4.59,4.60,4.36,4.45,38475
18-Nov-13,4.48,4.57,4.35,4.51,81723
15-Nov-13,4.48,4.48,4.31,4.40,53508
14-Nov-13,4.49,4.55,4.42,4.48,31545
13-Nov-13,4.47,4.50,4.43,4.49,78605
12-Nov-13,4.53,4.59,4.44,4.52,46689
11-Nov-13,4.29,4.56,4.29,4.53,227856
8-Nov-13,4.29,4.43,4.21,4.34,121137
7-Nov-13,4.20,4.29,4.17,4.28,102039
6-Nov-13,4.12,4.28,4.04,4.24,247113
5-Nov-13,4.03,4.12,4.03,4.08,38273
4-Nov-13,4.03,4.14,3.98,4.06,199548
1-Nov-13,4.00,4.10,3.99,4.01,89855
31-Oct-13,3.96,4.12,3.96,4.01,65550
30-Oct-13,4.10,4.20,3.97,4.01,74758
29-Oct-13,4.02,4.11,3.94,4.03,19500
28-Oct-13,3.98,4.08,3.92,4.02,132245
25-Oct-13,4.04,4.04,3.92,4.02,23750
24-Oct-13,3.95,4.11,3.94,3.97,165684
23-Oct-13,3.80,4.00,3.65,3.94,231664
22-Oct-13,3.88,3.90,3.74,3.85,47525
21-Oct-13,3.79,3.90,3.79,3.90,20430
18-Oct-13,3.81,3.89,3.78,3.89,33936
17-Oct-13,3.95,3.95,3.76,3.79,19076
16-Oct-13,3.81,3.97,3.80,3.85,27395
15-Oct-13,3.86,3.93,3.76,3.86,23543
14-Oct-13,3.80,4.00,3.80,3.94,36999
11-Oct-13,3.95,4.00,3.85,3.94,48578
10-Oct-13,3.97,3.99,3.82,3.84,31309
9-Oct-13,3.52,3.98,3.49,3.85,111731
8-Oct-13,3.29,3.79,3.28,3.57,319970
7-Oct-13,3.36,3.39,3.22,3.30,26823
4-Oct-13,3.31,3.38,3.29,3.35,3380
3-Oct-13,3.39,3.40,3.14,3.34,7902
2-Oct-13,3.33,3.41,3.33,3.38,27180
1-Oct-13,3.28,3.38,3.25,3.25,5960
30-Sep-13,3.20,3.38,3.20,3.29,13237
27-Sep-13,3.38,3.38,3.20,3.20,6118
26-Sep-13,3.34,3.40,3.31,3.31,4743
25-Sep-13,3.39,3.40,3.35,3.35,15245
24-Sep-13,3.19,3.30,3.17,3.21,9424
23-Sep-13,3.25,3.25,3.12,3.19,18207
20-Sep-13,3.35,3.40,3.25,3.33,10960
19-Sep-13,3.25,3.44,3.12,3.36,27713
18-Sep-13,2.89,3.28,2.89,3.21,40098
17-Sep-13,3.32,3.34,3.00,3.23,36950
16-Sep-13,3.08,3.35,3.03,3.35,126466
13-Sep-13,2.99,3.11,2.99,3.08,11381
12-Sep-13,3.00,3.09,2.96,3.05,21463
11-Sep-13,3.05,3.11,2.99,3.04,16938
10-Sep-13,2.85,3.14,2.85,3.03,55527
9-Sep-13,2.79,2.88,2.78,2.84,16365
6-Sep-13,2.76,2.77,2.68,2.76,9637
5-Sep-13,2.79,2.87,2.71,2.75,4740
4-Sep-13,2.74,2.79,2.74,2.75,10850
3-Sep-13,2.72,2.80,2.65,2.66,10103
30-Aug-13,2.66,2.80,2.66,2.75,14261
29-Aug-13,2.83,2.83,2.74,2.74,21135
28-Aug-13,2.76,2.84,2.76,2.82,1798
27-Aug-13,2.84,2.84,2.77,2.80,37400
26-Aug-13,2.89,2.89,2.82,2.87,2330
23-Aug-13,2.88,2.91,2.88,2.91,6292
22-Aug-13,2.97,2.97,2.85,2.90,4754
21-Aug-13,2.94,2.95,2.87,2.91,6231
20-Aug-13,2.86,2.93,2.80,2.89,6500
19-Aug-13,2.92,2.92,2.84,2.88,19387
16-Aug-13,2.84,3.00,2.84,2.85,13750
15-Aug-13,2.80,2.95,2.80,2.87,16738
14-Aug-13,2.83,2.85,2.80,2.84,37150
13-Aug-13,2.82,2.85,2.80,2.83,12466
12-Aug-13,2.85,2.85,2.79,2.85,9509
9-Aug-13,2.86,2.86,2.83,2.85,12500
8-Aug-13,2.90,2.92,2.84,2.90,35674
7-Aug-13,2.79,2.90,2.78,2.90,23371
6-Aug-13,2.76,2.85,2.76,2.80,22775
5-Aug-13,2.76,2.86,2.76,2.83,20944
2-Aug-13,2.68,2.81,2.63,2.80,51435
1-Aug-13,2.60,2.70,2.52,2.68,219223
31-Jul-13,2.88,2.91,2.77,2.83,63842
30-Jul-13,2.96,2.96,2.80,2.83,24631
29-Jul-13,3.00,3.00,2.85,2.90,26700
26-Jul-13,3.10,3.10,2.88,2.90,25221
25-Jul-13,3.07,3.07,2.96,2.98,4450
24-Jul-13,3.03,3.07,2.98,3.00,14618
23-Jul-13,3.05,3.18,3.02,3.02,16578
22-Jul-13,2.98,3.13,2.92,3.06,113954
19-Jul-13,2.97,2.97,2.90,2.93,8650
18-Jul-13,2.98,2.98,2.91,2.98,20710
17-Jul-13,2.89,2.98,2.89,2.98,15700
16-Jul-13,2.90,2.91,2.87,2.91,42968
15-Jul-13,2.91,2.95,2.89,2.92,14244
12-Jul-13,2.91,2.96,2.90,2.92,9745
11-Jul-13,2.98,2.98,2.94,2.96,1577
10-Jul-13,2.85,2.99,2.85,2.96,14780
9-Jul-13,2.88,2.90,2.86,2.90,11613
8-Jul-13,2.81,2.86,2.81,2.85,8754
5-Jul-13,2.80,2.84,2.80,2.82,11638
3-Jul-13,2.77,2.84,2.70,2.80,6591
2-Jul-13,2.76,2.85,2.76,2.80,8000
1-Jul-13,2.79,2.86,2.72,2.75,13405
28-Jun-13,2.75,2.86,2.70,2.82,8219
27-Jun-13,2.80,2.84,2.72,2.79,22260
26-Jun-13,2.98,2.98,2.73,2.79,96374
25-Jun-13,2.98,3.17,2.88,2.90,118327
24-Jun-13,3.03,3.08,3.00,3.00,8948
21-Jun-13,3.09,3.17,3.05,3.06,1952
20-Jun-13,2.99,3.17,2.99,3.11,6782
19-Jun-13,3.16,3.27,3.03,3.14,25348
18-Jun-13,3.33,3.51,3.18,3.21,25883
17-Jun-13,3.39,3.46,3.20,3.37,49964
14-Jun-13,3.46,3.55,3.32,3.39,17834
13-Jun-13,3.30,3.45,3.22,3.42,67755
12-Jun-13,3.40,3.40,3.22,3.30,32848
11-Jun-13,3.55,3.63,3.33,3.37,30160
10-Jun-13,3.01,3.59,2.92,3.52,167980
7-Jun-13,2.99,3.09,2.99,3.08,18170
6-Jun-13,3.00,3.08,2.91,2.91,80412
