Date,Open,High,Low,Close,Volume
21-Aug-14,1.28,1.33,1.26,1.28,101408
20-Aug-14,1.20,1.34,1.19,1.31,749410
19-Aug-14,1.18,1.19,1.15,1.18,65489
18-Aug-14,1.13,1.18,1.13,1.16,75003
15-Aug-14,1.14,1.17,1.12,1.14,77543
14-Aug-14,1.12,1.16,1.12,1.14,99967
13-Aug-14,1.17,1.18,1.12,1.13,138691
12-Aug-14,1.18,1.18,1.11,1.15,115728
11-Aug-14,1.17,1.19,1.13,1.17,84007
8-Aug-14,1.05,1.17,1.04,1.15,235460
7-Aug-14,1.20,1.20,1.02,1.07,1954039
6-Aug-14,1.12,1.19,1.12,1.19,244785
5-Aug-14,1.09,1.23,1.06,1.15,652116
4-Aug-14,1.25,1.32,0.97,1.06,1691595
1-Aug-14,1.32,1.34,1.21,1.22,355509
31-Jul-14,1.33,1.37,1.33,1.34,240552
30-Jul-14,1.46,1.46,1.22,1.36,622530
29-Jul-14,1.50,1.52,1.45,1.45,160298
28-Jul-14,1.54,1.54,1.50,1.50,191877
25-Jul-14,1.55,1.55,1.52,1.53,67633
24-Jul-14,1.52,1.57,1.51,1.55,199229
23-Jul-14,1.57,1.57,1.50,1.55,170378
22-Jul-14,1.57,1.60,1.54,1.57,140597
21-Jul-14,1.60,1.64,1.54,1.54,213260
18-Jul-14,1.56,1.60,1.53,1.60,157295
17-Jul-14,1.65,1.65,1.55,1.55,513337
16-Jul-14,1.69,1.70,1.63,1.64,726738
15-Jul-14,1.76,1.82,1.67,1.70,419734
14-Jul-14,1.63,1.78,1.60,1.76,844158
11-Jul-14,1.67,1.67,1.62,1.62,68023
10-Jul-14,1.62,1.71,1.62,1.67,117578
9-Jul-14,1.68,1.71,1.63,1.70,268678
8-Jul-14,1.62,1.72,1.62,1.70,438531
7-Jul-14,1.64,1.65,1.61,1.61,160937
3-Jul-14,1.65,1.69,1.63,1.63,162467
2-Jul-14,1.68,1.79,1.65,1.68,379989
1-Jul-14,1.86,1.91,1.72,1.73,433728
30-Jun-14,1.92,1.92,1.75,1.88,496243
27-Jun-14,1.85,1.95,1.82,1.95,1016097
26-Jun-14,1.67,1.93,1.65,1.81,2176292
25-Jun-14,1.55,1.72,1.48,1.67,594234
24-Jun-14,1.62,1.62,1.47,1.53,664872
23-Jun-14,1.72,1.75,1.61,1.61,279562
20-Jun-14,1.72,1.72,1.61,1.71,377927
19-Jun-14,1.71,1.71,1.70,1.71,276206
18-Jun-14,1.72,1.72,1.68,1.71,260157
17-Jun-14,1.80,1.86,1.70,1.75,567419
16-Jun-14,1.77,1.87,1.76,1.79,1179634
13-Jun-14,1.78,1.78,1.69,1.76,318944
12-Jun-14,1.73,1.83,1.67,1.73,1160286
11-Jun-14,1.60,1.75,1.60,1.71,265949
10-Jun-14,1.62,1.64,1.59,1.62,224664
9-Jun-14,1.66,1.68,1.62,1.64,96051
6-Jun-14,1.65,1.69,1.63,1.64,139259
5-Jun-14,1.65,1.65,1.57,1.62,151307
4-Jun-14,1.71,1.71,1.55,1.65,268761
3-Jun-14,1.70,1.74,1.63,1.70,1141619
2-Jun-14,1.59,1.85,1.59,1.71,646146
30-May-14,1.61,1.68,1.57,1.57,216752
29-May-14,1.57,1.63,1.56,1.58,70775
28-May-14,1.59,1.70,1.55,1.55,238474
27-May-14,1.60,1.64,1.56,1.56,370942
23-May-14,1.52,1.58,1.52,1.56,42691
22-May-14,1.55,1.59,1.48,1.52,174391
21-May-14,1.52,1.55,1.50,1.52,96753
20-May-14,1.50,1.54,1.50,1.51,44763
19-May-14,1.53,1.55,1.50,1.50,52572
16-May-14,1.56,1.57,1.50,1.55,117318
15-May-14,1.53,1.57,1.49,1.55,124724
14-May-14,1.48,1.63,1.48,1.52,375892
13-May-14,1.55,1.60,1.45,1.48,290338
12-May-14,1.44,1.58,1.44,1.55,192667
9-May-14,1.55,1.61,1.51,1.55,179029
8-May-14,1.43,1.65,1.40,1.56,656320
7-May-14,1.73,1.78,1.39,1.46,891457
6-May-14,1.78,1.82,1.74,1.77,128625
5-May-14,1.75,1.86,1.71,1.77,455431
2-May-14,1.73,1.77,1.71,1.75,96283
1-May-14,1.73,1.73,1.68,1.71,84448
30-Apr-14,1.75,1.78,1.68,1.73,272874
29-Apr-14,1.71,1.72,1.69,1.71,84574
28-Apr-14,1.78,1.78,1.68,1.70,191922
25-Apr-14,1.78,1.93,1.73,1.77,662133
24-Apr-14,1.80,1.82,1.75,1.78,55473
23-Apr-14,1.73,1.85,1.73,1.80,418241
22-Apr-14,1.72,1.80,1.71,1.76,97081
21-Apr-14,1.69,1.70,1.68,1.70,147512
17-Apr-14,1.70,1.72,1.67,1.70,220362
16-Apr-14,1.72,1.76,1.68,1.70,236653
15-Apr-14,1.70,1.73,1.69,1.71,407460
14-Apr-14,1.73,1.77,1.68,1.70,359956
11-Apr-14,1.74,1.74,1.70,1.70,340201
10-Apr-14,1.83,1.85,1.73,1.75,317540
9-Apr-14,1.93,2.00,1.81,1.85,598256
8-Apr-14,1.80,1.89,1.75,1.85,603029
7-Apr-14,1.76,1.79,1.73,1.77,493042
4-Apr-14,1.87,1.92,1.79,1.79,469912
3-Apr-14,1.96,1.98,1.85,1.86,441046
2-Apr-14,2.05,2.05,1.93,1.97,749722
1-Apr-14,1.94,2.09,1.87,2.05,1442779
31-Mar-14,1.80,1.96,1.76,1.96,1167990
28-Mar-14,1.83,1.84,1.77,1.78,313040
27-Mar-14,1.86,1.87,1.77,1.87,675200
26-Mar-14,1.77,1.90,1.73,1.83,932705
25-Mar-14,1.92,1.92,1.77,1.77,727936
24-Mar-14,1.94,1.94,1.71,1.83,632359
21-Mar-14,1.90,1.93,1.76,1.81,832407
20-Mar-14,1.86,1.94,1.85,1.88,993134
19-Mar-14,2.15,2.44,1.93,1.98,9048772
18-Mar-14,1.69,1.80,1.66,1.73,440183
17-Mar-14,1.82,1.85,1.70,1.70,575460
14-Mar-14,1.87,1.87,1.75,1.76,471598
13-Mar-14,1.94,2.05,1.83,1.85,1013317
12-Mar-14,1.76,1.96,1.74,1.89,798829
11-Mar-14,1.87,2.07,1.77,1.79,3593738
10-Mar-14,1.79,1.93,1.72,1.80,1126136
7-Mar-14,1.81,1.81,1.71,1.73,262201
6-Mar-14,1.80,1.82,1.70,1.76,470606
5-Mar-14,1.65,1.86,1.64,1.77,814732
4-Mar-14,1.62,1.75,1.62,1.64,565334
3-Mar-14,1.64,1.69,1.60,1.62,303039
28-Feb-14,1.79,1.83,1.62,1.65,947934
27-Feb-14,1.94,1.98,1.77,1.85,2585419
26-Feb-14,1.51,1.76,1.50,1.70,2231918
25-Feb-14,1.55,1.55,1.50,1.51,686955
24-Feb-14,1.56,1.63,1.54,1.61,429217
21-Feb-14,1.66,1.66,1.50,1.52,850644
20-Feb-14,1.70,1.72,1.56,1.66,589347
19-Feb-14,1.81,1.83,1.62,1.69,1021902
18-Feb-14,1.71,2.01,1.70,1.83,2970117
14-Feb-14,1.50,2.49,1.46,1.83,13360944
13-Feb-14,1.18,1.44,1.18,1.43,1300282
12-Feb-14,1.25,1.25,1.15,1.20,168229
11-Feb-14,1.22,1.31,1.18,1.21,644620
10-Feb-14,1.10,1.28,1.09,1.18,911041
7-Feb-14,1.01,1.10,1.00,1.08,706258
6-Feb-14,1.02,1.04,1.00,1.00,249098
5-Feb-14,1.00,1.02,1.00,1.00,231351
4-Feb-14,1.00,1.05,1.00,1.01,413796
3-Feb-14,1.06,1.07,1.00,1.00,158643
31-Jan-14,1.00,1.08,1.00,1.08,214840
30-Jan-14,1.09,1.10,1.00,1.08,464870
29-Jan-14,1.18,1.30,1.08,1.14,1399115
28-Jan-14,1.05,1.10,1.02,1.09,128667
27-Jan-14,1.03,1.09,1.00,1.07,154566
24-Jan-14,1.05,1.13,0.99,1.05,432858
23-Jan-14,1.18,1.18,1.05,1.07,181828
22-Jan-14,1.21,1.21,1.10,1.18,268594
21-Jan-14,1.21,1.23,1.16,1.19,477876
17-Jan-14,1.26,1.27,1.15,1.22,528908
16-Jan-14,1.13,1.27,1.12,1.25,824466
15-Jan-14,0.95,1.19,0.93,1.15,1146404
14-Jan-14,0.94,0.96,0.90,0.92,151136
13-Jan-14,0.91,0.97,0.89,0.92,418602
10-Jan-14,0.79,0.95,0.77,0.91,1852749
9-Jan-14,0.73,0.79,0.72,0.78,434744
8-Jan-14,0.73,0.73,0.72,0.72,42894
7-Jan-14,0.72,0.75,0.68,0.72,275384
6-Jan-14,0.69,0.72,0.65,0.71,131645
3-Jan-14,0.66,0.69,0.66,0.67,74475
2-Jan-14,0.63,0.67,0.63,0.66,84284
31-Dec-13,0.67,0.67,0.60,0.60,570047
30-Dec-13,0.69,0.70,0.66,0.67,673875
27-Dec-13,0.66,0.69,0.66,0.69,153392
26-Dec-13,0.62,0.67,0.62,0.65,124170
24-Dec-13,0.64,0.65,0.63,0.63,32966
23-Dec-13,0.64,0.65,0.62,0.65,42776
20-Dec-13,0.65,0.65,0.62,0.64,117514
19-Dec-13,0.68,0.68,0.62,0.65,248112
18-Dec-13,0.69,0.77,0.65,0.67,1365951
17-Dec-13,0.66,0.69,0.66,0.67,32049
16-Dec-13,0.66,0.69,0.66,0.66,48187
13-Dec-13,0.68,0.69,0.68,0.69,11251
12-Dec-13,0.70,0.75,0.66,0.68,405482
11-Dec-13,0.69,0.69,0.68,0.68,19210
10-Dec-13,0.68,0.70,0.68,0.70,2084
9-Dec-13,0.70,0.70,0.68,0.68,51837
6-Dec-13,0.68,0.76,0.68,0.72,132593
5-Dec-13,0.70,0.70,0.66,0.66,49037
4-Dec-13,0.71,0.71,0.67,0.70,4052
3-Dec-13,0.70,0.72,0.66,0.70,43198
2-Dec-13,0.69,0.72,0.66,0.67,30108
29-Nov-13,0.69,0.71,0.66,0.69,48682
27-Nov-13,0.68,0.72,0.68,0.70,15423
26-Nov-13,0.70,0.70,0.69,0.69,23384
25-Nov-13,0.70,0.72,0.69,0.69,15739
22-Nov-13,0.71,0.73,0.69,0.69,68671
21-Nov-13,0.73,0.77,0.69,0.70,208031
20-Nov-13,0.70,0.73,0.70,0.73,159537
19-Nov-13,0.67,0.72,0.67,0.69,43546
18-Nov-13,0.65,0.69,0.63,0.66,42228
15-Nov-13,0.71,0.71,0.63,0.68,29248
14-Nov-13,0.69,0.70,0.68,0.70,192773
13-Nov-13,0.60,0.68,0.60,0.68,67078
12-Nov-13,0.69,0.69,0.60,0.60,96396
11-Nov-13,0.70,0.70,0.67,0.68,20539
8-Nov-13,0.69,0.72,0.65,0.69,29339
7-Nov-13,0.70,0.72,0.69,0.69,73303
6-Nov-13,0.68,0.73,0.68,0.72,46836
5-Nov-13,0.72,0.73,0.68,0.68,197150
4-Nov-13,0.70,0.72,0.68,0.71,390111
1-Nov-13,0.69,0.69,0.67,0.67,45677
31-Oct-13,0.66,0.69,0.66,0.66,15174
30-Oct-13,0.67,0.68,0.63,0.67,30207
29-Oct-13,0.68,0.69,0.65,0.66,16356
28-Oct-13,0.72,0.72,0.68,0.68,5872
25-Oct-13,0.69,0.70,0.65,0.70,57764
24-Oct-13,0.63,0.70,0.63,0.68,35699
23-Oct-13,0.67,0.70,0.65,0.65,111124
22-Oct-13,0.68,0.70,0.67,0.69,88382
21-Oct-13,0.68,0.69,0.62,0.67,74101
18-Oct-13,0.69,0.71,0.67,0.68,59994
17-Oct-13,0.72,0.72,0.70,0.70,55407
16-Oct-13,0.73,0.73,0.71,0.72,53590
15-Oct-13,0.73,0.87,0.73,0.75,289031
14-Oct-13,0.72,0.72,0.71,0.71,18712
11-Oct-13,0.69,0.73,0.69,0.70,22226
10-Oct-13,0.71,0.74,0.70,0.71,5688
9-Oct-13,0.70,0.72,0.70,0.72,25156
8-Oct-13,0.72,0.74,0.70,0.72,19457
7-Oct-13,0.70,0.73,0.69,0.69,80164
4-Oct-13,0.72,0.72,0.71,0.72,9199
3-Oct-13,0.76,0.76,0.72,0.72,1122
2-Oct-13,0.74,0.75,0.72,0.72,22538
1-Oct-13,0.77,0.77,0.73,0.73,8266
30-Sep-13,0.75,0.77,0.73,0.74,428594
27-Sep-13,0.76,0.78,0.76,0.76,7209
26-Sep-13,0.76,0.78,0.76,0.76,20210
25-Sep-13,0.78,0.78,0.76,0.76,24913
24-Sep-13,0.74,0.80,0.73,0.76,23083
23-Sep-13,0.76,0.79,0.76,0.79,21385
20-Sep-13,0.76,0.80,0.76,0.80,12293
19-Sep-13,0.78,0.81,0.77,0.77,37095
18-Sep-13,0.80,0.82,0.78,0.78,56506
17-Sep-13,0.82,0.82,0.77,0.77,41121
16-Sep-13,0.81,0.82,0.78,0.81,31148
13-Sep-13,0.79,0.82,0.77,0.78,15105
12-Sep-13,0.78,0.81,0.76,0.76,57960
11-Sep-13,0.78,0.88,0.77,0.78,178001
10-Sep-13,0.78,0.81,0.78,0.79,37452
9-Sep-13,0.75,0.81,0.75,0.76,70698
6-Sep-13,0.80,0.82,0.79,0.79,15000
5-Sep-13,0.81,0.81,0.78,0.79,22544
4-Sep-13,0.76,0.82,0.73,0.82,33055
3-Sep-13,0.78,0.83,0.73,0.75,212163
30-Aug-13,0.82,0.84,0.79,0.80,3900
29-Aug-13,0.77,0.84,0.77,0.81,158650
28-Aug-13,0.80,0.90,0.78,0.80,645469
27-Aug-13,0.80,0.80,0.66,0.72,504969
26-Aug-13,0.85,0.85,0.80,0.80,63051
23-Aug-13,0.80,0.84,0.80,0.82,130257
22-Aug-13,0.80,0.83,0.79,0.80,178242
21-Aug-13,0.79,1.00,0.79,0.82,1423359
20-Aug-13,0.82,0.83,0.78,0.78,23173
19-Aug-13,0.82,0.82,0.77,0.80,67551
16-Aug-13,0.80,0.81,0.75,0.80,103694
15-Aug-13,0.83,0.83,0.80,0.80,65924
14-Aug-13,0.81,0.84,0.81,0.81,25599
13-Aug-13,0.81,0.85,0.81,0.81,2609
12-Aug-13,0.80,0.85,0.80,0.82,69594
9-Aug-13,0.85,0.85,0.80,0.80,22739
8-Aug-13,0.85,0.85,0.84,0.84,4230
7-Aug-13,0.85,0.85,0.80,0.82,183244
6-Aug-13,0.87,0.90,0.84,0.87,33927
5-Aug-13,0.86,0.90,0.86,0.90,113910
2-Aug-13,0.88,0.90,0.86,0.89,10153
1-Aug-13,0.87,0.88,0.87,0.88,17016
31-Jul-13,0.84,0.86,0.83,0.84,35212
30-Jul-13,0.90,0.90,0.75,0.84,81113
29-Jul-13,0.95,0.95,0.91,0.92,7360
26-Jul-13,0.95,0.95,0.91,0.95,12021
25-Jul-13,0.95,0.95,0.91,0.92,26460
24-Jul-13,1.03,1.03,0.91,0.93,224443
23-Jul-13,0.87,0.89,0.86,0.89,25724
22-Jul-13,0.84,0.87,0.84,0.86,290653
19-Jul-13,0.83,0.84,0.81,0.84,55247
18-Jul-13,0.84,0.84,0.81,0.81,16212
17-Jul-13,0.84,0.85,0.77,0.82,33896
16-Jul-13,0.82,0.84,0.82,0.84,9928
15-Jul-13,0.82,0.84,0.81,0.83,27435
12-Jul-13,0.80,0.83,0.76,0.83,95092
11-Jul-13,0.83,0.83,0.75,0.78,94146
10-Jul-13,0.80,0.84,0.73,0.78,327475
9-Jul-13,0.83,0.85,0.68,0.72,467287
8-Jul-13,0.88,0.88,0.80,0.82,7583
5-Jul-13,0.84,0.86,0.84,0.85,8279
3-Jul-13,0.81,0.89,0.80,0.81,74250
2-Jul-13,0.90,0.95,0.78,0.90,168393
1-Jul-13,0.85,0.97,0.85,0.88,65671
28-Jun-13,0.95,0.97,0.78,0.78,234787
27-Jun-13,0.97,1.00,0.96,0.97,11296
26-Jun-13,0.89,1.01,0.89,0.99,43839
25-Jun-13,0.89,0.97,0.89,0.89,44293
24-Jun-13,0.99,0.99,0.89,0.89,41990
21-Jun-13,1.00,1.00,0.93,0.93,24530
20-Jun-13,0.98,1.03,0.97,0.97,64137
19-Jun-13,0.96,1.11,0.95,1.02,1766919
18-Jun-13,0.92,0.96,0.92,0.95,4461
17-Jun-13,0.94,0.96,0.92,0.92,7317
14-Jun-13,0.95,0.96,0.92,0.93,17064
13-Jun-13,0.90,0.95,0.90,0.92,26559
12-Jun-13,0.90,0.95,0.90,0.95,14927
11-Jun-13,0.92,0.92,0.90,0.90,6503
10-Jun-13,0.88,0.95,0.88,0.94,60141
7-Jun-13,0.89,0.90,0.87,0.87,83233
6-Jun-13,0.89,0.89,0.88,0.89,3526
5-Jun-13,0.86,0.88,0.86,0.86,10300
4-Jun-13,0.87,0.88,0.87,0.88,6300
3-Jun-13,0.88,0.90,0.84,0.87,10689
31-May-13,0.85,0.85,0.83,0.85,8440
30-May-13,0.88,0.88,0.84,0.85,69731
29-May-13,0.86,0.90,0.85,0.86,91327
28-May-13,0.90,0.90,0.87,0.90,169066
24-May-13,0.93,0.93,0.87,0.93,19225
23-May-13,0.90,0.96,0.87,0.96,13086
22-May-13,0.96,0.96,0.86,0.92,39287
21-May-13,0.91,0.94,0.90,0.94,33112
20-May-13,0.91,0.92,0.87,0.91,15342
17-May-13,0.89,0.90,0.88,0.90,37451
16-May-13,0.88,0.93,0.85,0.88,51593
15-May-13,0.88,0.93,0.88,0.89,27467
14-May-13,0.91,0.93,0.86,0.87,14737
13-May-13,0.93,0.97,0.90,0.91,45025
10-May-13,0.93,0.93,0.90,0.90,21600
9-May-13,0.80,0.97,0.80,0.91,88445
8-May-13,0.96,1.00,0.95,0.96,29733
7-May-13,0.98,1.03,0.97,0.99,118285
6-May-13,1.02,1.05,0.99,0.99,46029
3-May-13,1.04,1.05,1.01,1.01,25882
2-May-13,1.04,1.05,0.97,1.04,147072
1-May-13,1.06,1.08,1.00,1.00,65833
30-Apr-13,1.05,1.10,1.04,1.08,68889
29-Apr-13,1.07,1.07,1.05,1.06,58143
26-Apr-13,1.08,1.09,1.05,1.07,27726
25-Apr-13,1.05,1.09,1.04,1.09,9581
24-Apr-13,1.08,1.10,1.06,1.07,19194
23-Apr-13,1.09,1.11,1.07,1.07,355975
22-Apr-13,1.10,1.10,1.06,1.08,53749
19-Apr-13,1.04,1.07,1.04,1.04,12793
18-Apr-13,1.04,1.08,1.04,1.05,8566
17-Apr-13,1.05,1.05,1.04,1.04,16466
16-Apr-13,1.05,1.08,1.04,1.04,18714
15-Apr-13,1.06,1.08,1.04,1.05,54982
12-Apr-13,1.09,1.09,1.04,1.05,45407
11-Apr-13,1.07,1.11,1.06,1.09,38062
10-Apr-13,1.07,1.10,1.05,1.06,56381
9-Apr-13,1.15,1.25,1.06,1.06,282888
8-Apr-13,1.06,1.10,1.04,1.07,77939
5-Apr-13,1.10,1.15,1.05,1.07,139245
4-Apr-13,1.15,1.15,1.04,1.10,1689922
3-Apr-13,1.28,1.31,1.11,1.12,312674
2-Apr-13,1.13,1.49,1.10,1.26,1709927
1-Apr-13,1.04,1.06,1.04,1.06,17700
28-Mar-13,1.05,1.07,1.02,1.04,12179
27-Mar-13,1.02,1.07,1.02,1.02,4450
26-Mar-13,1.06,1.08,1.01,1.03,27503
25-Mar-13,1.00,1.12,1.00,1.05,45121
22-Mar-13,1.00,1.04,0.98,1.03,18389
21-Mar-13,0.97,1.02,0.96,0.98,40552
20-Mar-13,1.03,1.05,1.01,1.01,61609
19-Mar-13,1.03,1.04,1.02,1.03,12832
18-Mar-13,1.04,1.07,1.01,1.02,38180
15-Mar-13,1.03,1.06,1.03,1.06,22319
14-Mar-13,1.04,1.05,1.02,1.03,16775
13-Mar-13,1.05,1.08,1.05,1.05,17140
12-Mar-13,1.06,1.06,1.05,1.05,17357
11-Mar-13,1.06,1.07,1.06,1.06,19401
8-Mar-13,1.09,1.09,1.04,1.06,24171
7-Mar-13,1.07,1.10,1.05,1.10,3959
6-Mar-13,1.09,1.09,1.05,1.09,22524
5-Mar-13,1.07,1.10,1.06,1.06,143977
4-Mar-13,1.05,1.07,1.05,1.05,23646
1-Mar-13,1.06,1.11,1.06,1.06,5544
28-Feb-13,1.09,1.09,1.07,1.07,2657
27-Feb-13,1.09,1.10,1.06,1.10,5323
26-Feb-13,1.13,1.13,1.07,1.10,5953
25-Feb-13,1.10,1.13,1.08,1.11,56369
22-Feb-13,1.11,1.11,1.07,1.08,14223
21-Feb-13,1.09,1.12,1.09,1.11,5176
20-Feb-13,1.10,1.13,1.09,1.09,15966
19-Feb-13,1.12,1.14,1.10,1.10,16947
15-Feb-13,1.12,1.14,1.10,1.11,18868
14-Feb-13,1.13,1.13,1.10,1.10,11975
13-Feb-13,1.11,1.12,1.10,1.10,16600
12-Feb-13,1.10,1.13,1.10,1.10,25889
11-Feb-13,1.09,1.13,1.07,1.13,18390
8-Feb-13,1.08,1.12,1.07,1.10,46200
7-Feb-13,1.10,1.14,1.07,1.13,54538
6-Feb-13,1.13,1.15,1.11,1.14,52456
5-Feb-13,1.13,1.14,1.10,1.10,26035
4-Feb-13,1.10,1.13,1.07,1.12,5440
1-Feb-13,1.08,1.14,1.06,1.14,12568
31-Jan-13,1.07,1.14,1.07,1.11,38830
30-Jan-13,1.09,1.11,1.06,1.11,9489
29-Jan-13,1.10,1.11,1.05,1.05,13663
28-Jan-13,1.07,1.10,1.07,1.07,7875
25-Jan-13,1.12,1.14,1.07,1.07,13774
24-Jan-13,1.11,1.14,1.06,1.08,23516
23-Jan-13,1.10,1.10,1.08,1.08,936
22-Jan-13,1.07,1.13,1.07,1.12,2325
18-Jan-13,1.14,1.14,1.05,1.06,7200
17-Jan-13,1.06,1.11,1.05,1.11,60815
16-Jan-13,1.14,1.16,1.06,1.06,3200
15-Jan-13,1.17,1.17,1.14,1.14,11300
14-Jan-13,1.05,1.17,1.05,1.16,392302
11-Jan-13,1.08,1.10,1.01,1.06,52970
10-Jan-13,1.05,1.12,1.05,1.05,16354
9-Jan-13,1.10,1.12,1.09,1.10,4476
8-Jan-13,1.17,1.20,1.10,1.12,57376
7-Jan-13,1.10,1.18,1.08,1.16,143399
4-Jan-13,1.05,1.11,1.04,1.06,36667
3-Jan-13,1.02,1.13,1.02,1.05,5842
2-Jan-13,1.05,1.17,1.02,1.03,158603
31-Dec-12,1.12,1.12,1.02,1.07,58531
28-Dec-12,1.18,1.18,1.08,1.10,29734
27-Dec-12,1.00,1.18,0.97,1.15,97506
26-Dec-12,1.03,1.04,1.00,1.02,27850
24-Dec-12,1.07,1.07,1.01,1.03,4510
21-Dec-12,1.01,1.07,0.97,1.07,34094
20-Dec-12,1.02,1.06,0.95,1.01,74117
19-Dec-12,1.07,1.07,1.01,1.01,35297
18-Dec-12,1.08,1.14,1.05,1.05,20053
17-Dec-12,1.10,1.13,1.04,1.11,38892
14-Dec-12,1.08,1.11,1.08,1.10,3749
13-Dec-12,1.09,1.14,1.06,1.12,1545
12-Dec-12,1.14,1.18,1.08,1.11,243016
11-Dec-12,1.04,1.16,1.02,1.15,520800
10-Dec-12,1.06,1.06,1.04,1.06,11579
7-Dec-12,1.10,1.17,1.03,1.08,25520
6-Dec-12,1.05,1.15,1.05,1.08,23396
5-Dec-12,1.12,1.12,1.05,1.05,39453
4-Dec-12,1.15,1.15,1.15,1.15,400
3-Dec-12,1.16,1.18,1.13,1.14,2700
30-Nov-12,1.12,1.19,1.12,1.19,4497
29-Nov-12,1.10,1.20,1.10,1.17,7832
28-Nov-12,1.12,1.13,1.10,1.12,14218
27-Nov-12,1.12,1.12,1.10,1.10,21942
26-Nov-12,1.15,1.20,1.10,1.20,11172
23-Nov-12,1.10,1.18,1.10,1.18,16456
21-Nov-12,1.15,1.15,1.10,1.10,27050
20-Nov-12,1.12,1.14,1.12,1.12,2130
19-Nov-12,1.21,1.21,1.10,1.17,26399
16-Nov-12,1.18,1.30,1.15,1.25,109110
15-Nov-12,1.10,1.19,1.10,1.17,10415
14-Nov-12,1.25,1.25,1.00,1.13,33131
13-Nov-12,1.06,1.06,0.97,1.01,79617
12-Nov-12,1.12,1.14,1.07,1.07,36695
9-Nov-12,1.18,1.20,1.12,1.14,12150
8-Nov-12,1.20,1.25,1.18,1.18,14044
7-Nov-12,1.25,1.25,1.21,1.21,24235
6-Nov-12,1.22,1.25,1.21,1.25,12579
5-Nov-12,1.27,1.27,1.18,1.22,32928
2-Nov-12,1.27,1.30,1.27,1.27,47287
1-Nov-12,1.32,1.33,1.27,1.27,4010
31-Oct-12,1.34,1.34,1.27,1.31,19543
26-Oct-12,1.28,1.34,1.25,1.29,2376
25-Oct-12,1.26,1.27,1.25,1.25,21263
24-Oct-12,1.28,1.30,1.28,1.28,13564
23-Oct-12,1.27,1.30,1.27,1.27,5459
22-Oct-12,1.44,1.44,1.27,1.27,6769
19-Oct-12,1.33,1.33,1.29,1.30,3900
18-Oct-12,1.32,1.42,1.32,1.36,22164
17-Oct-12,1.29,1.40,1.28,1.32,112416
16-Oct-12,1.26,1.29,1.26,1.29,7156
15-Oct-12,1.25,1.29,1.25,1.29,12006
12-Oct-12,1.25,1.28,1.25,1.28,14170
11-Oct-12,1.25,1.29,1.25,1.29,2736
10-Oct-12,1.25,1.29,1.25,1.26,29939
9-Oct-12,1.25,1.29,1.25,1.27,4105
8-Oct-12,1.28,1.30,1.25,1.25,13009
5-Oct-12,1.25,1.30,1.25,1.28,17156
4-Oct-12,1.25,1.28,1.25,1.28,12829
3-Oct-12,1.27,1.28,1.25,1.27,30604
2-Oct-12,1.26,1.30,1.26,1.28,36496
1-Oct-12,1.30,1.37,1.25,1.26,30722
